fecha,hora,numero,signo,extraido_en,fecha_raw,hora_num,ultimo_digito,penultimo_digito,suma_digitos,paridad,signo_cod,rango_mil,año,mes,dia_mes,dia_semana,dias_desde_inicio
2025-10-05,4 pm,988,ESC,2025-12-20 04:56:03,05/10/2025,16,8,8,25,0,1,0-999,2025,10,5,6,276
2025-01-06,1 pm,612,GEM,2025-12-20 03:18:22,06/01/2025,13,2,1,9,0,5,0-999,2025,1,6,0,4
2025-01-06,10 pm,149,PIC,2025-12-20 03:18:23,06/01/2025,22,9,4,14,1,4,0-999,2025,1,6,0,4
2025-01-06,4 pm,839,LIB,2025-12-20 03:18:22,06/01/2025,16,9,3,20,1,2,0-999,2025,1,6,0,4
2025-02-06,1 pm,736,CAP,2025-12-20 03:29:30,06/02/2025,13,6,3,16,0,7,0-999,2025,2,6,3,35
2025-02-06,10 pm,837,VIR,2025-12-20 03:29:30,06/02/2025,22,7,3,18,1,6,0-999,2025,2,6,3,35
2025-02-06,4 pm,604,TAU,2025-12-20 03:29:30,06/02/2025,16,4,0,10,0,0,0-999,2025,2,6,3,35
2025-03-06,1 pm,179,PIC,2025-12-20 03:39:33,06/03/2025,13,9,7,17,1,4,0-999,2025,3,6,3,63
2025-03-06,10 pm,869,TAU,2025-12-20 03:39:33,06/03/2025,22,9,6,23,1,0,0-999,2025,3,6,3,63
2025-03-06,4 pm,785,CAN,2025-12-20 03:39:33,06/03/2025,16,5,8,20,1,3,0-999,2025,3,6,3,63
2025-04-06,1 pm,720,SAG,2025-12-20 03:50:41,06/04/2025,13,0,2,9,0,11,0-999,2025,4,6,6,94
2025-04-06,10 pm,585,LEO,2025-12-20 03:50:41,06/04/2025,22,5,8,18,1,10,0-999,2025,4,6,6,94
2025-04-06,4 pm,330,ESC,2025-12-20 03:50:41,06/04/2025,16,0,3,6,0,1,0-999,2025,4,6,6,94
2025-05-06,1 pm,589,LIB,2025-12-20 04:01:27,06/05/2025,13,9,8,22,1,2,0-999,2025,5,6,1,124
2025-05-06,10 pm,167,CAN,2025-12-20 04:01:28,06/05/2025,22,7,6,14,1,3,0-999,2025,5,6,1,124
2025-05-06,4 pm,904,LIB,2025-12-20 04:01:28,06/05/2025,16,4,0,13,0,2,0-999,2025,5,6,1,124
2025-06-06,1 pm,729,VIR,2025-12-20 04:12:35,06/06/2025,13,9,2,18,1,6,0-999,2025,6,6,4,155
2025-06-06,10 pm,723,VIR,2025-12-20 04:12:35,06/06/2025,22,3,2,12,1,6,0-999,2025,6,6,4,155
2025-06-06,4 pm,603,LIB,2025-12-20 04:12:35,06/06/2025,16,3,0,9,1,2,0-999,2025,6,6,4,155
2025-07-06,1 pm,605,PIC,2025-12-20 04:23:21,06/07/2025,13,5,0,11,1,4,0-999,2025,7,6,6,185
2025-07-06,10 pm,152,LEO,2025-12-20 04:23:21,06/07/2025,22,2,5,8,0,10,0-999,2025,7,6,6,185
2025-07-06,4 pm,468,ACU,2025-12-20 04:23:21,06/07/2025,16,8,6,18,0,8,0-999,2025,7,6,6,185
2025-08-06,1 pm,948,ESC,2025-12-20 04:34:29,06/08/2025,13,8,4,21,0,1,0-999,2025,8,6,2,216
2025-08-06,10 pm,231,VIR,2025-12-20 04:34:29,06/08/2025,22,1,3,6,1,6,0-999,2025,8,6,2,216
2025-08-06,4 pm,642,ARI,2025-12-20 04:34:29,06/08/2025,16,2,4,12,0,9,0-999,2025,8,6,2,216
2025-09-06,1 pm,203,SAG,2025-12-20 04:45:37,06/09/2025,13,3,0,5,1,11,0-999,2025,9,6,5,247
2025-09-06,10 pm,515,SAG,2025-12-20 04:45:38,06/09/2025,22,5,1,11,1,11,0-999,2025,9,6,5,247
2025-09-06,4 pm,830,ACU,2025-12-20 04:45:37,06/09/2025,16,0,3,11,0,8,0-999,2025,9,6,5,247
2025-10-06,1 pm,29,CAP,2025-12-20 04:56:25,06/10/2025,13,9,2,11,1,7,0-999,2025,10,6,0,277
2025-10-06,10 pm,648,LEO,2025-12-20 04:56:25,06/10/2025,22,8,4,18,0,10,0-999,2025,10,6,0,277
2025-10-06,4 pm,408,PIC,2025-12-20 04:56:25,06/10/2025,16,8,0,12,0,4,0-999,2025,10,6,0,277
2025-01-07,1 pm,380,VIR,2025-12-20 03:18:44,07/01/2025,13,0,8,11,0,6,0-999,2025,1,7,1,5
2025-01-07,10 pm,909,LEO,2025-12-20 03:18:44,07/01/2025,22,9,0,18,1,10,0-999,2025,1,7,1,5
2025-01-07,4 pm,476,LEO,2025-12-20 03:18:44,07/01/2025,16,6,7,17,0,10,0-999,2025,1,7,1,5
2025-02-07,1 pm,990,TAU,2025-12-20 03:29:52,07/02/2025,13,0,9,18,0,0,0-999,2025,2,7,4,36
2025-02-07,10 pm,292,GEM,2025-12-20 03:29:52,07/02/2025,22,2,9,13,0,5,0-999,2025,2,7,4,36
2025-02-07,4 pm,723,PIC,2025-12-20 03:29:52,07/02/2025,16,3,2,12,1,4,0-999,2025,2,7,4,36
