fecha,hora,numero,signo,extraido_en,fecha_raw,hora_num,ultimo_digito,penultimo_digito,suma_digitos,paridad,signo_cod,rango_mil,año,mes,dia_mes,dia_semana,dias_desde_inicio
2025-06-04,10 pm,1700,CAP,2025-12-20 06:11:25,04/06/2025,22,0,0,8,0,4,1000-1999,2025,6,4,2,153
2025-06-04,4 pm,2545,LIB,2025-12-20 06:11:25,04/06/2025,16,5,4,16,1,10,2000-2999,2025,6,4,2,153
2025-07-04,1 pm,9117,LEO,2025-12-20 06:22:12,04/07/2025,13,7,1,18,1,1,9000-9999,2025,7,4,4,183
2025-07-04,10 pm,9530,GEM,2025-12-20 06:22:12,04/07/2025,22,0,3,17,0,0,9000-9999,2025,7,4,4,183
2025-07-04,4 pm,4209,GEM,2025-12-20 06:22:12,04/07/2025,16,9,0,15,1,0,4000-4999,2025,7,4,4,183
2025-08-04,1 pm,6591,SAG,2025-12-20 06:33:18,04/08/2025,13,1,9,21,1,6,6000-6999,2025,8,4,0,214
2025-08-04,10 pm,5261,TAU,2025-12-20 06:33:19,04/08/2025,22,1,6,14,1,3,5000-5999,2025,8,4,0,214
2025-08-04,4 pm,5198,GEM,2025-12-20 06:33:19,04/08/2025,16,8,9,23,0,0,5000-5999,2025,8,4,0,214
2025-09-04,1 pm,3725,SAG,2025-12-20 06:44:26,04/09/2025,13,5,2,17,1,6,3000-3999,2025,9,4,3,245
2025-09-04,10 pm,3699,CAP,2025-12-20 06:44:26,04/09/2025,22,9,9,27,1,4,3000-3999,2025,9,4,3,245
2025-09-04,4 pm,1759,SAG,2025-12-20 06:44:26,04/09/2025,16,9,5,22,1,6,1000-1999,2025,9,4,3,245
2025-10-04,1 pm,4480,ESC,2025-12-20 06:55:13,04/10/2025,13,0,8,16,0,2,4000-4999,2025,10,4,5,275
2025-10-04,10 pm,2433,TAU,2025-12-20 06:55:13,04/10/2025,22,3,3,12,1,3,2000-2999,2025,10,4,5,275
2025-10-04,4 pm,6845,VIR,2025-12-20 06:55:13,04/10/2025,16,5,4,23,1,11,6000-6999,2025,10,4,5,275
2025-01-05,1 pm,5403,TAU,2025-12-20 05:16:24,05/01/2025,13,3,0,12,1,3,5000-5999,2025,1,5,6,3
2025-01-05,10 pm,922,SAG,2025-12-20 05:16:25,05/01/2025,22,2,2,13,0,6,0-999,2025,1,5,6,3
2025-01-05,4 pm,7378,SAG,2025-12-20 05:16:24,05/01/2025,16,8,7,25,0,6,7000-7999,2025,1,5,6,3
2025-02-05,1 pm,3544,GEM,2025-12-20 05:27:32,05/02/2025,13,4,4,16,0,0,3000-3999,2025,2,5,2,34
